ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
0	126	K6	ABORT	-1	-1	4	4	4	0	0	4	400004	0	115.165593958		
1	188	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	18.426470875		
2	342	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	76.906094625		
3	436	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.099802167		
4	441	K6	ABORT	-1	-1	4	4	4	0	0	4	400004	0	18.970440500		
5	514	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	12.424900708		
6	541	K7	ABORT	-1	-1	2	2	7	5	0	2	201291	0	59.877931750		
7	559	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	6.167634292		
8	603	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	75.784604917		
9	736	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	21.106303834		
10	760	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	82.152748666		
11	906	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	15.945186417		
12	1016	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	9.191299459		
13	1059	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	9.741083917		
14	1128	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	152.961617458		
15	1198	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	27.594872792		
16	1237	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.632616458		
17	1277	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	39.069861625		
18	1280	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	37.001917750		
19	1387	K7	ABORT	-1	-1	3	3	3	0	0	3	300003	0	172.866852709		
20	1514	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	23.333782791		
21	1644	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	69.825697833		
22	1660	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	37.376473250		
23	1711	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	115.968725625		
24	1724	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	65.168392167		
25	1746	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	30.730021916		
26	1747	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	17.016354500		
27	1750	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	40.072618709		
28	1827	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	187.089597833		
29	2046	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	46.773065833		
30	2052	K7	ABORT	-1	-1	2	2	12	10	0	2	200812	0	21.058947584		
31	2074	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	77.999913041		
32	2100	K7	KILLED	1	1	2	2	31	30	0	1	108355	0	25.944029250		
33	2101	K7	ABORT	-1	-1	2	2	2	0	0	2	200002	0	12.632479625		
34	2102	K7	ABORT	-1	-1	2	2	2	0	0	2	200002	0	49.479609833		
35	2106	K7	ABORT	-1	-1	2	2	2	0	0	2	200002	0	18.636364750		
36	2144	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	17.010333666		
