ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
0	32033	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	17.705012708		
1	58458	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.924669667		
2	58460	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.313811209		
3	59005	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.208522875		
4	87757	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.084483250		
5	104439	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.043829667		
6	111463	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.440800542		
7	111585	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.120004167		
8	116032	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	5.006336875		
9	140153	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.376045750		
10	191109	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.242748292		
11	204844	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.460891083		
12	206214	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.424372667		
13	207582	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.058038250		
14	207942	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	5.700782375		
15	210593	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	24.854685625		
16	219138	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	17.427532084		
17	219320	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	6.220533708		
18	219996	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.664635375		
19	226183	K7	ABORT	-1	-1	2	1	6	5	0	1	20796	0	103.470392250		
20	246625	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.504227291		
21	246966	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.269005541		
22	247078	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.633015583		
23	259189	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.271878000		
24	260880	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.661836750		
25	269042	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	2.988526791		
26	269045	K7	ABORT	-1	-1	3	2	13	11	0	2	42153	0	24.440168458		
27	274076	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.923628209		
28	284227	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.710824458		
29	287565	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.319718625		
30	289707	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.745272583		
31	293735	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.014139417		
32	314948	K7	ABORT	-1	-1	2	1	2	1	0	1	20351	0	3.765592375		
33	316173	K7	ABORT	-1	-1	3	2	7	5	0	2	40417	0	19.355917250		
34	319710	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.582265000		
35	328809	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.178612917		
36	328812	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.134976417		
37	329384	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.101533792		
38	330654	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.143809250		
39	330764	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	2.079018959		
40	339405	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	12.953389000		
41	342800	K7	ABORT	-1	-1	2	1	6	5	0	1	20326	0	2.880668666		
42	342830	K7	ABORT	-1	-1	2	1	7	6	0	1	20583	0	27.538274500		
43	347002	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.886263917		
44	348668	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	14.301649666		
45	363590	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.960413250		
46	364014	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.563769000		
47	364051	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.294678500		
48	364730	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.934453333		
49	364805	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.785328167		
50	364827	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.773666583		
51	364880	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.517884625		
52	364916	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.153882542		
53	364922	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	38.672711125		
54	365477	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.067548875		
55	366241	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.382659458		
56	367250	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.024573083		
57	369528	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.302141625		
58	369532	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.644044708		
59	369850	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.434779583		
60	369853	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.505509625		
61	371181	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.600658084		
62	379076	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	9.001122666		
63	379078	K7	KILLED	1	1	2	1	24	24	0	0	18361	0	1.208356875		
64	379082	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.000777750		
65	386036	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.349362709		
66	405497	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.759241875		
67	420635	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.052641792		
68	423661	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.084154333		
69	424226	K7	ABORT	-1	-1	2	1	6	5	0	1	20326	0	1.888022292		
70	424236	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	14.728758167		
