ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
0	316173	K7	ABORT	-1	-1	3	2	7	5	0	2	1000417	0	426.782197875		
1	2581209	K7	ABORT	-1	-1	4	3	3	0	0	3	1500003	0	827.427769583		
2	2592657	K7	ABORT	-1	-1	4	3	8	5	0	3	1500488	0	130.842309709		
3	2593240	K7	ABORT	-1	-1	2	1	6	5	0	1	500660	0	551.840343083		
4	3595554	K7	KILLED	1	1	4	1	24	24	0	0	550041	0	46.991851625		
5	3648882	K7	ABORT	-1	-1	2	1	6	5	0	1	500326	0	48.970647041		
6	3729907	K7	ABORT	-1	-1	2	1	6	5	0	1	500540	0	377.226111417		
7	3785980	K7	ABORT	-1	-1	2	1	1	0	0	1	500001	0	749.570649667		
8	3888410	K7	ABORT	-1	-1	4	3	3	0	0	3	1500003	0	739.199412875		
9	3935560	K7	ABORT	-1	-1	2	1	1	0	0	1	500001	0	597.265302625		
10	3936177	K7	ABORT	-1	-1	2	1	1	0	0	1	500001	0	30.144363750		
11	3936310	K7	ABORT	-1	-1	2	1	6	5	0	1	500489	0	609.295659708		
12	3936435	K7	ABORT	-1	-1	2	1	6	5	0	1	500486	0	589.148201292		
13	3945490	K7	ABORT	-1	-1	2	1	6	5	0	1	500612	0	382.516312208		
14	3945555	K7	ABORT	-1	-1	2	1	6	5	0	1	500612	0	122.841770958		
15	3945557	K7	ABORT	-1	-1	2	1	6	5	0	1	500564	0	903.520577500		
16	3945564	K7	ABORT	-1	-1	2	1	1	0	0	1	500001	0	337.105852125		
17	3947605	K7	ABORT	-1	-1	2	1	1	0	0	1	500001	0	289.754977292		
18	3949382	K7	ABORT	-1	-1	2	1	4	3	0	1	502447	0	36.147133542		
