index	applicable	baseline_decision	refined_decision	first_baseline_failing_seed	first_refined_failing_seed	seeds	covers	baseline_passing_covers	refined_passing_covers	newly_failed_covers	support_families_checked	propagated_coordinate_deletions	refinement_cache_hits	assignment_fail_empty_propagated_mask	assignment_fail_disjoint_required_edge	assignment_fail_clique	assignment_fail_degree	assignment_fail_basis	assignment_fail_mask	assignment_fail_subspace_K	assignment_fail_component_B
220235	1	REJECTED	REJECTED	336969	336969	3	181	1	1	0	1	0	0	0	0	0	0	0	0	0	0
3396125	1	REJECTED	REJECTED	140327	140327	2	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1460971	1	REJECTED	REJECTED	100938	100938	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1928424	1	REJECTED	REJECTED	145496	145496	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3811247	1	REJECTED	REJECTED	201241	201241	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3944809	1	REJECTED	REJECTED	173601	173601	5	268	6	3	3	6	16	0	0	3	0	0	0	0	0	0
92681	1	REJECTED	REJECTED	209188	209188	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3070949	1	REJECTED	REJECTED	305240	305240	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284564	1	REJECTED	REJECTED	140069	140069	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960157	1	REJECTED	REJECTED	362584	362584	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
861736	1	REJECTED	REJECTED	39205	39205	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2486784	1	REJECTED	REJECTED	103512	103512	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2645419	1	REJECTED	REJECTED	304165	304165	2	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834844	1	REJECTED	REJECTED	214041	214041	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2378847	1	REJECTED	REJECTED	206859	206859	2	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2534050	1	REJECTED	REJECTED	402469	402469	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1654487	1	REJECTED	REJECTED	275108	275108	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1605781	1	REJECTED	REJECTED	267172	267172	2	167	2	2	0	41	163	0	0	39	0	0	0	0	0	0
1605929	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	41	180	0	0	39	0	0	0	0	0	0
